City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,286.46,98,100,2.0,overcast clouds
1,Albany,US,42.6001,-73.9662,282.82,75,100,1.22,overcast clouds
2,Upernavik,GL,72.7868,-56.1549,267.47,77,100,2.81,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,279.96,70,0,1.03,clear sky
4,Barrow,US,71.2906,-156.7887,269.16,86,100,6.17,mist
5,Merauke,ID,-8.4667,140.3333,304.01,65,72,3.41,broken clouds
6,Bluff,NZ,-46.6,168.3333,280.39,86,100,8.92,light rain
7,Rikitea,PF,-23.1203,-134.9692,295.05,65,89,8.79,overcast clouds
8,Chokurdakh,RU,70.6333,147.9167,269.5,81,99,1.76,overcast clouds
9,Vaini,TO,-21.2,-175.2,301.24,69,75,5.66,broken clouds
10,Mataura,NZ,-46.1927,168.8643,280.83,91,99,3.88,light rain
11,Cidreira,BR,-30.1811,-50.2056,286.06,75,0,2.87,clear sky
12,Whitehorse,CA,60.7161,-135.0538,282.49,57,46,1.34,scattered clouds
13,Saint George,US,37.1041,-113.5841,297.56,42,0,6.69,clear sky
14,Torbay,CA,47.6666,-52.7314,278.8,80,7,0.89,clear sky
15,Watsa,CD,3.0372,29.5355,289.71,98,100,0.41,light rain
16,Avera,US,33.194,-82.5271,287.18,74,5,2.45,clear sky
17,Saint-Philippe,RE,-21.3585,55.7679,292.92,82,41,5.85,scattered clouds
18,Hanzhong,CN,33.0728,107.0303,286.72,94,100,0.46,overcast clouds
19,Souillac,MU,-20.5167,57.5167,293.36,83,40,3.6,scattered clouds
20,Butaritari,KI,3.0707,172.7902,300.84,74,85,5.17,overcast clouds
21,Coquimbo,CL,-29.9533,-71.3436,286.0,82,100,3.09,overcast clouds
22,Springville,US,40.1652,-111.6107,292.39,46,0,5.66,clear sky
23,East London,ZA,-33.0153,27.9116,290.17,70,100,6.56,overcast clouds
24,Plastun,RU,44.7561,136.2939,281.21,36,97,7.28,overcast clouds
25,Kapaa,US,22.0752,-159.319,301.33,65,0,7.72,clear sky
26,Georgetown,MY,5.4112,100.3354,302.53,79,20,2.57,few clouds
27,Leningradskiy,RU,69.3833,178.4167,272.9,91,100,2.59,light snow
28,Srikakulam,IN,18.3,83.9,297.86,95,100,2.54,heavy intensity rain
