City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-10-05 01:27:30,-54.8,-68.3,279.96,81,75,5.66
1,Yerbogachen,RU,2022-10-05 01:27:30,61.2767,108.0108,271.44,67,99,4.46
2,Westport,US,2022-10-05 01:27:30,41.1415,-73.3579,287.63,87,100,6.69
3,Rikitea,PF,2022-10-05 01:23:13,-23.1203,-134.9692,294.57,61,54,10.73
4,Busselton,AU,2022-10-05 01:27:31,-33.65,115.3333,287.74,69,33,7.76
5,Port Alfred,ZA,2022-10-05 01:27:31,-33.5906,26.891,288.25,90,0,0.45
6,Mataura,NZ,2022-10-05 01:27:32,-46.1927,168.8643,277.3,98,100,5.22
7,Lasa,IT,2022-10-05 01:27:32,46.6166,10.7002,285.95,49,13,0.84
8,Hobart,AU,2022-10-05 01:27:33,-42.8794,147.3294,285.4,68,75,5.66
9,Nurota,UZ,2022-10-05 01:27:33,40.5614,65.6886,283.51,26,0,3.65
10,Half Moon Bay,US,2022-10-05 01:27:34,37.4636,-122.4286,296.73,79,100,8.75
11,Saskylakh,RU,2022-10-05 01:27:34,71.9167,114.0833,268.68,96,100,2.33
12,Clyde River,CA,2022-10-05 01:27:34,70.4692,-68.5914,270.28,80,100,7.2
13,Hofn,IS,2022-10-05 01:27:35,64.2539,-15.2082,280.53,84,100,2.43
14,Te Anau,NZ,2022-10-05 01:27:35,-45.4167,167.7167,277.03,75,75,4.69
15,Tuktoyaktuk,CA,2022-10-05 01:27:35,69.4541,-133.0374,274.15,86,0,4.63
16,Ribeira Grande,PT,2022-10-05 01:27:36,38.5167,-28.7,294.77,87,100,4.94
17,Ketchikan,US,2022-10-05 01:27:36,55.3422,-131.6461,287.41,77,100,4.63
18,Severo-Kurilsk,RU,2022-10-05 01:27:37,50.6789,156.125,281.0,92,100,9.3
19,Mar Del Plata,AR,2022-10-05 01:24:20,-38.0023,-57.5575,286.45,80,40,4.12
20,Kavieng,PG,2022-10-05 01:23:14,-2.5744,150.7967,302.25,68,68,7.97
21,Nemuro,JP,2022-10-05 01:27:38,43.3236,145.575,285.41,59,94,8.91
22,New Norfolk,AU,2022-10-05 01:27:38,-42.7826,147.0587,285.21,48,99,3.61
23,Ambilobe,MG,2022-10-05 01:27:38,-13.2,49.05,290.92,85,8,1.44
24,Geraldton,AU,2022-10-05 01:24:24,-28.7667,114.6,291.38,77,100,5.66
25,Algiers,DZ,2022-10-05 01:27:39,36.7525,3.042,291.05,77,40,1.03
26,San Patricio,US,2022-10-05 01:27:39,28.017,-97.5169,300.12,54,8,3.99
27,Atuona,PF,2022-10-05 01:27:39,-9.8,-139.0333,298.2,67,73,9.55
28,Kupang,ID,2022-10-05 01:27:40,-10.1667,123.5833,304.47,74,40,3.6
29,Louga,RU,2022-10-05 01:27:40,58.7372,29.8453,279.43,94,100,1.52
30,Avarua,CK,2022-10-05 01:27:41,-21.2078,-159.775,299.18,61,20,9.26
31,Gijon,ES,2022-10-05 01:27:41,43.5357,-5.6615,290.37,94,13,0.89
32,Vaini,TO,2022-10-05 01:27:41,-21.2,-175.2,297.24,94,75,4.63
33,Arnoldstein,AT,2022-10-05 01:27:42,46.5461,13.71,283.76,91,47,0.95
34,Souillac,MU,2022-10-05 01:27:42,-20.5167,57.5167,293.36,83,40,1.54
35,Khatanga,RU,2022-10-05 01:27:42,71.9667,102.5,271.05,98,100,2.05
36,Kodiak,US,2022-10-05 01:27:43,57.79,-152.4072,283.88,87,100,8.75
37,Hilo,US,2022-10-05 01:26:07,19.7297,-155.09,302.73,72,20,4.63
38,Priargunsk,RU,2022-10-05 01:27:43,50.3691,119.1012,275.01,28,5,3.12
39,Butaritari,KI,2022-10-05 01:27:44,3.0707,172.7902,300.86,75,30,8.11
40,Altagracia De Orituco,VE,2022-10-05 01:27:44,9.8601,-66.3814,295.39,96,97,1.57
41,Ambovombe,MG,2022-10-05 01:27:45,-25.1667,46.0833,292.35,91,0,2.04
42,Araouane,ML,2022-10-05 01:27:45,18.9048,-3.5265,306.08,13,0,1.96
43,East London,ZA,2022-10-05 01:27:45,-33.0153,27.9116,290.52,81,100,5.62
44,Pevek,RU,2022-10-05 01:27:46,69.7008,170.3133,270.61,76,86,3.44
45,Umm Kaddadah,SD,2022-10-05 01:27:46,13.6017,26.6876,301.15,48,100,5.65
46,Saint-Georges,GD,2022-10-05 01:27:47,12.0564,-61.7485,299.97,83,20,3.09
47,Ekhabi,RU,2022-10-05 01:27:47,53.5102,142.9671,275.94,68,100,9.2
48,Dikson,RU,2022-10-05 01:27:47,73.5069,80.5464,273.68,78,100,8.99
